relative_path,quotation_number,qn_confidence,boq_status
Q2506H032\Q2506H032R5_SAIPEM_RIL Hazira_Technocommercial.txt,Q2506H032R5,HIGH,FOUND
Q2506H033\OFFER#Q2506H033_AMNS_TECHNICAL.txt,Q2506H033,HIGH,FOUND
Q2506H033\OFFER#Q2506H033R1_AMNS_TECHNOCOMMERCIAL_.txt,Q2506H033R1,HIGH,FOUND
Q2506H034\PRICE-Q2506H034- OFFER FOR ADANI CEMENT- COAL APPLICATION .txt,Q2506H034,HIGH,FOUND
Q2506M017\Q2506M017_Technimont_Egyptian Chemical Industries.txt,Q2506M017,HIGH,FOUND
Q2506M017\Q2506M017R1_Technimont_Egyptian Chemical Industries.txt,Q2506M017R1,HIGH,FOUND
Q2506M017\Q2506M017R2_Technimont_Egyptian Chemical Industries.txt,Q2506M017R2,HIGH,FOUND
Q2506M019\Q2506M019 TECHNICAL OFFER FOR CV ANALYSER SYSTEM FOR OIL NMDC PROJECT.txt,Q2506M019,HIGH,FOUND
Q2506M020\Q2506W020 OFFER FOR CEMS GAS ANALYSER SYSTEM FOR BCGCL WNA PLANT.txt,Q2506M020,HIGH,FOUND
Q2506M021\OFFER#Q2506M021_RIL_DMD_WORLEY_TECHNICAL.txt,Q2501M003R4,HIGH,FOUND
Q2506N079\Offer Q2506N079R1 - ADANI LAKHERI CEMENT_Techno commercial.txt,Q2506N079R1,HIGH,FOUND
Q2506N079\OFFER#_Q2410N088_ACC LAKHERI _TECHNICAL.txt,Q2410N088,HIGH,FOUND
Q2506N082\OFFER#Q2506N082_ANKUR_FERTILIZERS_LTD_TECHNICAL.txt,Q2506N082,HIGH,FOUND
Q2506N083\Q2506N083_KHD Humboldt Wedag_Gold Crest Cement_Cement Line.txt,Q2506N083,HIGH,FOUND
Q2506N083\Q2506N083R1_KHD Humboldt Wedag_Gold Crest Cement_Cement Line.txt,Q2506N083R1,HIGH,FOUND
Q2506N083\Q2506N083R2_KHD Humboldt Wedag_Gold Crest Cement_Cement Line.txt,Q2506N083R2,HIGH,FOUND
Q2506N083\Q2506N083R3_KHD Humboldt Wedag_Gold Crest Cement_Cement Line.txt,Q2506N083R3,HIGH,FOUND
Q2506N085\Offer#Q2506N085_AIR LIQUIDE__TECHNICAL.txt,Q2506N085,HIGH,FOUND
Q2506N086\Q2506N086_ISGEC_Mundra Petrochemical_Shelter.txt,Q2506N086,HIGH,FOUND
Q2506N086\Q2506N086R1_ISGEC_Mundra Petrochemical_Shelter_Technical.txt,Q2506N086R1,HIGH,FOUND
Q2506N086\Q2506N086R2_ISGEC_Mundra Petrochemical_Shelter.txt,Q2506N086R2,HIGH,FOUND
Q2506N087\OFFER#Q2506N087_KHD Humboldt Wedag_Gold Crest_TECHNICAL Dated 19.06.25.txt,Q2506N087,HIGH,FOUND
Q2506N087\OFFER#Q2506N087R1_KHD Humboldt Wedag_Gold Crest_TECHNICAL.txt,Q2506N087R1,HIGH,FOUND
Q2506N089\OFFER#Q2506N089_UTCL_BIRLA_WHITE_TECHNO_COMMERCIAL.txt,Q2506N089,HIGH,FOUND
Q2506N090\Q2506N090_SMS India_SAIL IISCO_CDQ.txt,Q2506N090,HIGH,FOUND
Q2506N092\Offer#Q2506N092_AIR LIQUIDE__TECHNICAL..txt,Q2507N092,HIGH,FOUND
"Q2506X011\OFFER#__Q2506X011_ Siemens, Thailand _Techno commercial.txt",Q2506X011,HIGH,FOUND
Q2506X012\Q2506X012_Indorama_Nitric Acid Plant.txt,Q2506X012,HIGH,FOUND
Q2506X012\Q2506X012R1_Indorama_Nitric Acid Plant.txt,Q2506X012R1,HIGH,FOUND
Q2506X012\Q2506X012R2_Indorama_Nitric Acid Plant.txt,Q2506X012R2,HIGH,FOUND
Q2506X012\Q2506X012R3_Indorama_Nitric Acid Plant.txt,Q2506X012R3,HIGH,FOUND
Q2507AKAI015\Offer#Q2507AKAI015 R1_Indorama_CO_system.txt,Q2507AKAI015,HIGH,FOUND
Q2507AKAI015\Offer#Q2507AKAI015 R2_Indorama_CO_system.txt,Q2507AKAI015,HIGH,FOUND
Q2507C018\OFFER#Q2507C018_SUMMITS_HYGRONICS.txt,Q2507C018,HIGH,FOUND
Q2507C019\OFFER#Q2507C019_THE INDIA CEMENTS LTD PCO.txt,Q2507C019,HIGH,FOUND
Q2507C019\OFFER#Q2507C019R1_THE INDIA CEMENTS LTD PCO.txt,,LOW,FOUND
Q2507C020\OFFER#Q2507C020 KILN INLET CHETTINAD CEMENT.txt,Q2507C020,HIGH,FOUND
Q2507C020\OFFER#Q2507C020R1_KILN INLET CHETTINAD CEMENT.txt,Q2507C020,HIGH,FOUND
Q2507C021\OFFER#Q2507C021 DCW APH TECHNICAL.txt,Q2507C021,HIGH,FOUND
Q2507C021\OFFER#Q2507C021R1 DCW APH TECHNICAL.txt,Q2507C021R1,HIGH,FOUND
Q2507E088\OFFER#Q2507E088_TSL_JSR_TDLS_H2_MODIFICATION_TECHNO_COMMERCIAL.txt,Q2507E088,HIGH,FOUND
Q2507E088\OFFER#Q2507E088R2_TSL_JSR_TDLS_H2_TECHNO_COMMERCIAL (2).txt,Q2507E088R2,HIGH,FOUND
Q2507E089\OFFER#Q2507E089 _IIFCO_Technical.txt,Q2507E089,HIGH,FOUND
Q2507E094\Q2507E094_Matix Fertiliser_Aux Boiler.txt,Q2507E094,HIGH,FOUND
Q2507E094\Q2507E094R1_Matix Fertiliser_Aux Boiler.txt,Q2507E094R1,HIGH,FOUND
Q2507E096\OFFER#Q2507E096 _NMDC_Technical.txt,Q2507E096,HIGH,FOUND
Q2507E096\OFFER#Q2507E096R1 _NMDC_Technical.txt,Q2507E096R1,HIGH,FOUND
Q2507E096\OFFER#Q2507E096R2_NMDC_Techno commercial.txt,Q2507E096R2,HIGH,FOUND
Q2507E097\Q2507E097_TSML_CEMS.txt,Q2507E097,HIGH,FOUND
Q2507E098\OFFER#Q2507E098_Mecon Limited_(SAIL DSP)_Technical.txt,Q2507E098,HIGH,FOUND
Q2507E099\OFFER#Q2507E099_PRIME METALS_TECHNICAL.txt,Q2507E099,HIGH,FOUND
Q2507E099\OFFER#Q2507E099R1_PRIME METALS_TECHNICAL.txt,Q2507E099R1,HIGH,FOUND
Q2507E100\OFFER#Q2507E100_L&T _Techno commercial.txt,Q2507E100,HIGH,FOUND
Q2507E100\OFFER#Q2507E100R1_L&T _Techno commercial.txt,Q2507E100R1,HIGH,FOUND
Q2507E101\OFFER#Q2507E101_ELLENBARRIE_THC_TECHNO COMMERCIAL.txt,Q2507E101,HIGH,FOUND
Q2507E103\Offer#Q2507E103_VEDENTA ESL BOKARO CEMS TECHNICAL.txt,Q2507E103,HIGH,FOUND
Q2507E104\OFFER#Q2507E104_Tata steel Ltd _Technical_.txt,Q2507E104,HIGH,FOUND
Q2507E105\OFFER#Q2507E105_ELLENBARRIE_TRACE O2_TECHNO-COMMERCIAL.txt,Q2507E105,HIGH,FOUND
Q2507E107\OFFER#Q2507E107_DCBL-RAJGANGPUR.txt,Q2507E107,HIGH,FOUND
Q2507E109\OFFER#Q2507E109_SAIL BOKARO O2 IN H2.txt,Q2507E109,HIGH,FOUND
Q2507E109\OFFER#Q2507E109R1_SAIL BOKARO O2 IN H2 TECHNO COMMERCIAL.txt,Q2507E109R1,HIGH,FOUND
Q2507H036\OFFER#Q2507H036_TATA PROJECTS LTD _TECHNICAL.txt,Q2506H036,HIGH,FOUND
Q2507H038\Offer#Q2507H038_HPCL_VIZAG_AAQMS_BUDGETARY.txt,Q2507H038,HIGH,FOUND
Q2507H039\Offer#Q2507H039_S-TECH SERVICES PVT LTD.txt,Q2507H039,HIGH,FOUND
Q2507M023\Q2507M073 TECHNICAL OFFER FOR FLOW MONITOR FOR SHREE DIGVIJAY CEMENT.txt,Q2507M073,HIGH,FOUND
Q2507M023\Q2507M073R1 COMMERCIAL OFFER FOR FLOW MONITOR FOR SHREE DIGVIJAY CEMENT.txt,Q2507M073R1,HIGH,FOUND
Q2507M024\Q2507M024  OFFER FOR O2 GAS ANALYSER SYSTEM FOR DANIELI CENTRO COMBUSTION INDIA.txt,Q2507M024,HIGH,FOUND
Q2507M025\Q2507M025_L&T_RCF Thal.txt,Q2507M025,HIGH,FOUND
Q2507N093\Q2507N093_Super Technical India Pvt Ltd_Green Hydrogen_GC.txt,Q2507N093,HIGH,FOUND
Q2507N093\Q2507N093R1_Super Technical India Pvt Ltd_Green Hydrogen_GC.txt,Q2507N093R1,HIGH,FOUND
Q2507N094\Offer#Q2507N094_AIR LIQUIDE__TECHNICAL.txt,Q2507N094,HIGH,FOUND
Q2507N095\Q2507N095_DCBL_AAQMS_CEMS.txt,Q2507N095,HIGH,FOUND
Q2507N095\Q2507N095R1_DCBL_AAQMS_CEMS.txt,Q2507N095R1,HIGH,FOUND
Q2507N095\Q2507N095R2_DCBL_CEMS & Opacity.txt,Q2507N095R2,HIGH,FOUND
Q2507N095\Q2507N095R3_DCBL_CEMS & Opacity.txt,Q2507N095R3,HIGH,FOUND
Q2507N096\Offer#Q2507N096_ISGEC_JSW_DOLVI.txt,Q2507N096,HIGH,FOUND
Q2507N096\Offer#Q2507N096R1_ISGEC_JSW_DOLVI.txt,Q2507N096R1,HIGH,FOUND
Q2507N096\Offer#Q2507N096R3_ISGEC_JSW_DOLVI.txt,Q2507N096R3,HIGH,FOUND
Q2507N096\Offer#Q2507N096R4_ISGEC_JSW_DOLVI.txt,Q2507N096R4,HIGH,FOUND
Q2507N097\Offer#Q2507N097_AIR LIQUIDE__TECHNICAL_DATED 04.08.25.txt,Q2507N097,HIGH,FOUND
Q2507N098\Offer#Q2507N098_AIR LIQUIDE__TECHNICAL.txt,Q2507N098,HIGH,FOUND
Q2507N099\OFFER#Q2508N099_Isgec Heavy Engineering _Technical.txt,Q2507N099,HIGH,FOUND
Q2507N099\OFFER#Q2508N099R1_Isgec Heavy Engineering _Technical.txt,Q2507N099R1,HIGH,FOUND
Q2507N099\OFFER#Q2508N099R2_Isgec Heavy Engineering _Techno commercial.txt,Q2507N099R2,HIGH,FOUND
Q2507N099\OFFER#Q2508N099R3_Isgec Heavy Engineering _Techno commercial.txt,Q2507N099R3,HIGH,FOUND
Q2507N100\OFFER#Q2507N100_Gulshan Chemicals Pvt Ltd_Technical.txt,Q2507N100,HIGH,FOUND
Q2507N103\OFFER# Q2507N103_DANIELI COROUS _Techno commercial.txt,Q2507N103,HIGH,FOUND
Q2507N103\OFFER# Q2507N103R1_DANIELI COROUS _Techno commercial-.txt,Q2507N103R1,HIGH,FOUND
Q2507N104\OFFER#Q2507N104_SMS India Pvt Ltd. _Techno Commercial.txt,Q2507N104,HIGH,FOUND
Q2507N104\OFFER#Q2507N104R1_SMS India Pvt Ltd. _Techno Commercial.txt,Q2507N104R1,HIGH,FOUND
Q2507N105\Offer#Q2507N105_AIR LIQUIDE__TECHNICAL_DATED 03.09.25.txt,Q2507N105,HIGH,FOUND
Q2507N107\Offer#Q2507N107_NIPPON_STEEL_SAIL_CDQ.txt,Q2507N107,HIGH,FOUND
Q2507N107\Offer#Q2507N107R2_NIPPON_STEEL_SAIL_CDQ_TECHNO COMMERCIAL.txt,Q2507N107R2,HIGH,FOUND
Q2507N109\Offer#Q2507N109_ISGEC_RML_TECHNICAL.txt,Q2507N109,HIGH,FOUND
Q2507N109\Offer#Q2507N109R1_ISGEC_RML_TECHNO_COMMERCIAL.txt,Q2507N109R1,HIGH,FOUND
Q2508AKAI018\Q2508AKAI018_Emirates Biotech_Samsung Group_CEMS.txt,Q2508AKAI018,HIGH,FOUND
Q2508AKAI019\Offer#Q2508AKAI019_ Indorama ICS(Industries Chimiques du Sénégal).txt,Q2508AKAI019,HIGH,FOUND
"Q2508AKAI019\OFFER#Q2508E110_Indorama, ICS (Industries Chimiques du Sénégal)_Technical.txt",Q2508E110,HIGH,FOUND
Q2508AKAI020\AKAI2503PR960027 HOT Engineering.txt,,LOW,FOUND
Q2508C022\Q2508C022_Technip India_RCF Thal_Ammonia Revamp.doc.txt,Q2508C022,HIGH,FOUND
Q2508C023\OFFER#_Q2508C023_ Chettinad Cement Corporation Pvt Ltd_Techno commercial.txt,Q2508C023,HIGH,FOUND
Q2508C024\OFFER#Q2508C024 _FLSmidth Cement_Techno commercial.txt,Q2508C024,HIGH,FOUND
"Q2508E111\OFFER_Q2508E111_Jindal Steel & Power Ltd, Angul_Technical.txt",Q2508E111,HIGH,FOUND
Q2508E112\OFFER#Q2508E112_Eastern Metec Pvt Ltd_Technical.txt,Q2508E112,HIGH,FOUND
Q2508E114\OFFER#Q2508E114_SAIL_IISCO_TAIL GAS TECHNO COMMERCIAL.txt,Q2508E114,HIGH,FOUND
Q2508E115\OFFER#Q2508E115_TCE HINDALCO_TECHNICAL..txt,Q2503E040,HIGH,FOUND
Q2508E115\OFFER#Q2508E115R1_TCE HINDALCO_TECHNICAL.txt,Q2503E040R1,HIGH,FOUND
Q2508E115\OFFER#Q2508E115R2_TCE HINDALCO_TECHNICAL.txt,Q2503E040R2,HIGH,FOUND
Q2508E117\Q2508E117_Indevelop_JSW Dolvi_CV.txt,Q2508E117,HIGH,FOUND
Q2508G011\Q2508G011_RIL VMD_CEMS.txt,Q2508G011,HIGH,FOUND
Q2508H041\Q2508H041_BHEL Hyd_IOCL Digboi_CEMS.txt,Q2508H041,HIGH,FOUND
Q2508H041\Q2508H041R1_BHEL Hyd_IOCL Digboi_CEMS.txt,Q2508H041R1,HIGH,FOUND
Q2508M026\Q2508M026_OFFER SPETCO PROJECT_THERMAX.txt,Q2508M026,HIGH,FOUND
Q2508N110\Certificate(Requested in ATC).txt,,LOW,FOUND
Q2508N111\OFFER#Q2508N111_Isgec Heavy Engineering _Technical.txt,Q2508N111,HIGH,FOUND
Q2508N112\OFFER#Q2508N112_Isgec Heavy Engineering _Technical.txt,Q2508N112,HIGH,FOUND
Q2508N112\OFFER#Q2508N112R1_Isgec Heavy Engineering _Technical.txt,Q2508N112R1,HIGH,FOUND
Q2508N112\OFFER#Q2508N112R2_Isgec Heavy Engineering _Technical.txt,Q2508N112R2,HIGH,FOUND
Q2508N112\OFFER#Q2508N112R3_Isgec Heavy Engineering _Techno commercial.txt,Q2508N112R3,HIGH,FOUND
Q2508N114\OFFER#_Q2508N114_Council Of Scientific And Industrial Research_Techno commercial.txt,Q2508N114,HIGH,FOUND
Q2508N114\OFFER#_Q2508N114_R1_19-08-2025 Council Of Scientific And Industrial Research_Techno commercial (1).txt,Q2508N114,HIGH,FOUND
Q2508N114\Offer#Q2508N114_CSIR LDS_.txt,Q2508N114,HIGH,FOUND
"Q2508N116\OFFER#Q2508N116_Hindalco Industries Limited, Renukoot _Technical.txt",Q2508N116,HIGH,FOUND
Q2508N117\Offer#Q2508N117_UPRVUNL_H2 PURITY.txt,Q2508N117,HIGH,FOUND
Q2508N118\Offer#Q2508N118_Siemens Energy India Limited_H2 PURITY.txt,Q2508N118,HIGH,FOUND
Q2508N119\OFFER#Q2508N119_DALMIA CEMENT_TECHNICAL.txt,Q2508N119,HIGH,FOUND
Q2508N119\OFFER#Q2508N119R2_DALMIA CEMENT_TECHNICAL.txt,Q2508N119R2,HIGH,FOUND
Q2508N120\OFFER#Q2508N120_wonder cement _Technical__.txt,Q2508N120,HIGH,FOUND
Q2508N120\OFFER#Q2508N120R1_wonder cement _Techno commercial.txt,Q2508N120R1,HIGH,FOUND
Q2508N120\OFFER#Q2508N120R2_wonder cement _Techno commercial_.txt,Q2508N120R2,HIGH,FOUND
Q2508N120\OFFER#Q2508N120R3_wonder cement _Techno commercial.txt,Q2508N120R3,HIGH,FOUND
Q2508N121\Q2508N121_SMS_SAIL IISCO_TDLAS.txt,Q2508N121,HIGH,FOUND
Q2508X013\OFFER#Q2508X013_AMETEK_PORTA_CABIN_TECHNO COMMERCIAL.txt,Q2508X013,HIGH,FOUND
Q2509B057\OFFER#Q2509B057_Greensol power system _Technical.txt,Q2509B057,HIGH,FOUND
Q2509B057\OFFER#Q2509B057R1_Greensol power system _Techno commercial.txt,Q2509B057R1,HIGH,FOUND
Q2509B058\OFFER#Q2509B058_Greenesol Power System_Technical.txt,Q2509B058,HIGH,FOUND
Q2509B058\OFFER#Q2509B058R1_Greenesol Power System_Techno commercial.txt,Q2509B058R1,HIGH,FOUND
Q2509B059\Offer#Q2509B059R1_MRPL_AAQMS_TECHNO COMMERCIAL_.txt,Q2509B059R1,HIGH,FOUND
Q2509B059\Offer#Q2509B059R2_MRPL_AAQMS_TECHNO COMMERCIAL_.txt,Q2509B059R2,HIGH,FOUND
Q2509B059\Offer#Q2509B059R3_MRPL_AAQMS_TECHNO COMMERCIAL_.txt,Q2509B059R3,HIGH,FOUND
Q2509B060\OFFER#Q2509B060_EXXON MOBIL TECHNO COMMERCIAL .txt,Q2509B060,HIGH,FOUND
Q2509B060\OFFER#Q2509B060R2_EXXON MOBIL TECHNO COMMERCIAL.txt,Q2509B060R2,HIGH,FOUND
Q2509C025\OFFER#Q2509C025_FLSmidth Cement_Technical.txt,Q2509C025,HIGH,FOUND
Q2509C025\OFFER#Q2509C025R1_FLSmidth Cement_Techno commercial.txt,Q2509C025R1,HIGH,FOUND
Q2509C026\Offer _Q2509C026R1_The Ramco cements Ltd_Technical_.txt,Q2509C026R1,HIGH,FOUND
Q2509C026\Offer _Q2509C026R2_The Ramco cements Ltd_Technical.txt,Q2509C026R2,HIGH,FOUND
Q2509C026\Offer _Q2509C026R3_The Ramco cements Ltd_Technical.txt,Q2509C026R3,HIGH,FOUND
Q2509C026\Offer _Q2509C026R4_The Ramco cements Ltd_Technical.txt,Q2509C026R4,HIGH,FOUND
Q2509C026\Offer _Q2509C026R5_The Ramco cements Ltd_Technical_.txt,Q2509C026R5,HIGH,FOUND
Q2509C026\Offer _Q2509C026R6_The Ramco cements Ltd_Techno commercial.txt,Q2509C026R6,HIGH,FOUND
Q2509C026\OFFER#_Q2509C026_The Ramco Cements Limited_Technical.txt,Q2509C026,HIGH,FOUND
Q2509C027\OFFER#Q2509C027 Continental Engineers O2 system.txt,Q2509C027,HIGH,FOUND
Q2509C028\OFFER#Q2509C028_CK Airtech India Private Limited_Technical.txt,Q2509C028,HIGH,FOUND
Q2509E120\OFFER#Q2509E120 KILN INLET & PHO JUD CEMENT TECHNICAL.txt,Q2509E120,HIGH,FOUND
Q2509E120\OFFER#Q2509E120R1 KILN INLET & PHO JUD CEMENT TECHNO COMMERCIAL.txt,Q2509E120R1,HIGH,FOUND
Q2509E121\OFFER#Q2509E121_ DVC_ Techno Commercial.txt,Q2509E121,HIGH,FOUND
Q2509E121\OFFER#Q2509E121R1_ DVC_ Techno Commercial.txt,Q2509E121R1,HIGH,FOUND
Q2509E121\OFFER#Q2509E121R2_ DVC_ Techno Commercial.txt,Q2509E121R2,HIGH,FOUND
Q2509E122\Q2509E122_SAIL Bokaro_Dry Gas_.txt,Q2509E122,HIGH,FOUND
Q2509E123\OFFER#Q2509E123 Indevelop Technology PCI Technical.txt,Q2509E123,HIGH,FOUND
Q2509E123\OFFER#Q2509E123R2 Indevelop Technology Triple Probe Techno Commercial.txt,Q2509E123R2,HIGH,FOUND
Q2509G012\OFFER#Q2509G012_WORLEY_RIL_POLISILICON_TECHNICAL_DATED 07.11.25.txt,Q2509G012,HIGH,FOUND
Q2509G013\OFFER#Q2509G013_SHRIRAM VINYL & CHEMICAL INDUSTRIES TECHNICAL.txt,Q2509G013,HIGH,FOUND
Q2509G014\OFFER#Q2509G014_GNFC_CO-CH4.txt,Q2510G015,HIGH,FOUND
Q2509H046\Offer#Q2509H046 Resustainability CEMS.txt,Q2509H046,HIGH,FOUND
Q2509H046\Offer#Q2509N130R2_NIPPON_STEEL_SAIL_ISP CDQ_TECHNICAL.txt,Q2509N130R2,HIGH,FOUND
Q2509H047\Offer#Q2509H047_TATA PROJECTS LTD CV ANALYZER TECHNICAL.txt,Q2509H047,HIGH,FOUND
Q2509H047\Offer#Q2509H047R1_TATA PROJECTS LTD CV ANALYZER TECHNO COMMERCIAL.txt,Q2509H047R1,HIGH,FOUND
"Q2509H048\OFFER#_Q2509H048_Adani Cement Limited, Orient Cement Ltd - Devapur _Technical.txt",Q2509H048,HIGH,FOUND
Q2509H050\Offer#Q2509H050_SPIC HF TECHNICAL.txt,Q2509H050,HIGH,FOUND
Q2509H051\OFFER#Q2509H051_KESORAM CEMENT LTD PHO.txt,Q2509H051,HIGH,FOUND
"Q2509H052\OFFER#Q2509H052 Heidelberg Cement India Limited, Zuari Cements.txt",Q2509H052,HIGH,FOUND
Q2509N122\OFFER#Q2509N122_ENIC _Technical.txt,Q2509N122,HIGH,FOUND
Q2509N122\OFFER#Q2509N122R1_ENIC _Techno commercial.txt,Q2509N122R1,HIGH,FOUND
Q2509N123\OFFER#Q2509N123_Star cement_Technical.txt,Q2509N123,HIGH,FOUND
Q2509N123\OFFER#Q2509N123R1_Star cement_Techno commercial.txt,Q2509N123R1,HIGH,FOUND
Q2509N124\Offer#Q2509N124_AIR LIQUIDE__TECHNICAL..txt,Q2509N124,HIGH,FOUND
Q2509N126\Offer#Q2509N126_AIR LIQUIDE_TECHNICAL.txt,Q2509N126,HIGH,FOUND
Q2509N126\Offer#Q2509N126R1_AIR LIQUIDE_TECHNICAL.txt,Q2509N126R1,HIGH,FOUND
Q2509N126\Offer#Q2509N126R3_AIR LIQUIDE_TECHNICAL.txt,Q2509N126R3,HIGH,FOUND
Q2509N127\OFFER#Q2509N127_Goyal Group_Techno commercial.txt,Q2509N127,HIGH,FOUND
Q2509N127\OFFER-SQ2508N187-GOYAL GAS-ANALYSERS.txt,SQ2508N187,HIGH,FOUND
Q2509N128\OFFER#Q2509N128_STAR CEMENT LTD.txt,Q2509N128,HIGH,FOUND
Q2509N128\OFFER#Q2509N128R1_STAR CEMENT LTD.txt,Q2509N128R1,HIGH,FOUND
Q2509N129\OFFER#Q2509N129_Jindal Saw_Technical.txt,Q2509N129,HIGH,FOUND
Q2509N130\Offer#Q2509N130_NIPPON_STEEL_SAIL_ISP CDQ_TECHNICAL.txt,Q2509N130,HIGH,FOUND
Q2509N130\Offer#Q2509N130R1_NIPPON_STEEL_SAIL_ISP CDQ_TECHNICAL.txt,Q2509N130R1,HIGH,FOUND
Q2509N130\Offer#Q2509N130R2_NIPPON_STEEL_SAIL_ISP CDQ_TECHNICAL.txt,Q2509N130R2,HIGH,FOUND
Q2509N130\Offer#Q2509N130R3_NIPPON_STEEL_SAIL_ISP CDQ_TECHNICAL.txt,Q2509N130R3,HIGH,FOUND
Q2509N130\Offer#Q2509N130R4_NIPPON_STEEL_SAIL_ISP CDQ_TECHNO COMMERCIAL.txt,Q2509N130R4,HIGH,FOUND
Q2509N131\OFFER#Q2509N131 NFL NANGAL TECHNICAL.txt,Q2509N131,HIGH,FOUND
Q2509X015\Q2509X015_Gas Analysis_Mexinol_200MW.txt,Q2509X015,HIGH,FOUND
Q2510C029\OFFER#Q2510C029 ISSOJET BURNPUR EXTRACTIVE O2.txt,Q2510C029,HIGH,FOUND
Q2510C030\OFFER#Q2510C030 The India Cement Ltd Kiln Techno Commerciall.txt,Q2510C030,HIGH,FOUND
Q2510C031\OFFER#_Q2510C031_ Southern Petrochemical Industries Corporation Limited (SPIC)_Technical.txt,Q2510C031,HIGH,FOUND
Q2510C031\OFFER#_Q2510C031R1_ Southern Petrochemical Industries Corporation ltd (SPIC)_Technical.txt,Q2510C031R1,HIGH,FOUND
Q2510C031\OFFER#_Q2510C031R2_ SPIC_Techno commercial.txt,Q2510C031R2,HIGH,FOUND
Q2510E130\OFFER#Q2510E130_SAIL BOKARO H2 IN O2.txt,Q2510E130,HIGH,FOUND
Q2510E131\TECHNICAL BID_FINAL SUBMITTED.txt,,LOW,FOUND
Q2510E132\OFFER#Q2510E132_Tata Steel Limited_Technical dated 03.11.25.txt,Q2510E132,HIGH,FOUND
Q2510E133\Offer#Q2510E133R2_IMFA_Technical.txt,Q2510E133R2,HIGH,FOUND
Q2510E134\OFFER#Q2510E134_Tata Steel Limited_Technical_dated 24.11.25.txt,Q2510E134,HIGH,FOUND
Q2510E137\Offer#Q2510E137_O2_Measurement_system_Technical_Offer.txt,Q2510E137,HIGH,FOUND
Q2510E138\OFFER#Q2510E138_BCPL_Technical.txt,Q2510E138,HIGH,FOUND
Q2510E142\OFFER#Q2510E142 _Mecon  Limited_Technocommercial.txt,Q2510E142,HIGH,FOUND
Q2510G015\OFFER#Q2510G015_GNFC_Techno commercial.txt,Q2510G015,HIGH,FOUND
Q2510G015\OFFER#Q2510G015R1_GNFC_Technical.txt,Q2510G015R1,HIGH,FOUND
Q2510H053\OFFER#Q2510H053_Hindustan Petroleum Corporation Ltd_Techno commercial.txt,Q2510H053,HIGH,FOUND
Q2510H053\OFFER#Q2510H053R1_Hindustan Petroleum Corporation Ltd_Techno commercial.txt,Q2510H053R1,HIGH,FOUND
Q2510H053\OFFER#Q2510H053R2_Hindustan Petroleum Corporation Ltd_Techno commercial.txt,Q2510H053R2,HIGH,FOUND
Q2510H054\Offer#Q2510H054_NCL_AAQMS_Techno_commercial_offer.txt,Q2510H054,HIGH,FOUND
Q2510H056\OFFER#Q2510H056 UTCL-SARALNAGAR CEMENT WORKS.txt,Q2510H056,HIGH,FOUND
Q2510H058\Additional Doc 3 (Requested in ATC).txt,,LOW,NOT_FOUND
Q2510H059\OFFER#Q2510H059 UTCL TADIPATRI Techno Commerciall.txt,Q2510C030,HIGH,FOUND
Q2510H062\OFFER#Q2510H062 ADANI ORIENT CEMENT LTD.txt,Q2510H062,HIGH,FOUND
Q2510M027\OFFER#Q2510M027_SOPAN_TECHNICAL_DATED 06.11.25.txt,Q2510M027,HIGH,FOUND
Q2510N132\OFFER#Q2510N132 ACC LAKHERI CEMENTS.txt,Q2510N132,HIGH,FOUND
Q2510N133\OFFER#Q2510N133_Pakka Packaging _Technical_.txt,Q2510N133,HIGH,FOUND
Q2510N133\OFFER#Q2510N133R1_Pakka Packaging _Technical.txt,Q2510N133R1,HIGH,FOUND
Q2510N133\OFFER#Q2510N133R2_Pakka Packaging _Techno commercial.txt,Q2510N133R2,HIGH,FOUND
Q2510N133\OFFER#Q2510N133R3_Pakka Packaging _Techno commercial.txt,Q2510N133R3,HIGH,FOUND
Q2510N133\OFFER#Q2510N133R4_Pakka Packaging _Techno commercial.txt,Q2510N133R4,HIGH,FOUND
Q2510N134\OFFER#Q2510N134_Naini Papers _Technical.txt,Q2510N134,HIGH,FOUND
Q2510N134\OFFER#Q2510N134R1_Naini Papers _Techno commercial.txt,Q2510N134R1,HIGH,FOUND
Q2510N135\Offer#Q2510N135 ENVEA ULTRAMAT 23 .txt,Q2510N135,HIGH,FOUND
Q2510N137\Offer#Q2510N137_AIR LIQUIDE__TECHNICAL.txt,Q2510N137,HIGH,FOUND
Q2510N139\OFFER Q2510N139R4 Jubilant Ingrevia Life Sciences Limited Techno commercial.txt,Q2510N139R4,HIGH,FOUND
"Q2510N139\OFFER#Q2510N139_Jubilant Ingrevia, Life Sciences Limited_Technical.txt",Q2510N139,HIGH,FOUND
"Q2510N139\OFFER#Q2510N139R1_Jubilant Ingrevia, Life Sciences Limited_Techno commercial.txt",Q2510N139R1,HIGH,FOUND
"Q2510N139\OFFER#Q2510N139R2_Jubilant Ingrevia, Life Sciences Limited_Techno commercial.txt",Q2510N139R2,HIGH,FOUND
"Q2510N139\OFFER#Q2510N139R3_Jubilant Ingrevia, Life Sciences Limited_Techno commercial.txt",Q2510N139R3,HIGH,FOUND
Q2510N141\Q2510N141_EIL_BCGCL_CEMS.txt,Q2510N141,HIGH,FOUND
Q2510N142\Q2510N142_Danieli Corus_SAIL Durgapur.txt,Q2510N142,HIGH,FOUND
